,from_NI_rank,deta
0,4.0,0.07246376811594203
1,8.0,0.2583333333333333
2,20.0,-0.05701754385964913
3,37.0,-0.16666666666666666
4,44.0,0.16666666666666666
5,47.0,0.2954545454545454
6,50.0,-0.015261627906976744
7,61.0,-0.01206140350877193
8,74.0,0.075
9,92.0,0.012987012987012986
10,99.0,0.07586206896551725
11,100.0,0.22413793103448276
12,104.0,0.11363636363636363
13,105.0,0.013836967760910219
14,108.0,-0.0049261083743842365
15,115.0,-0.008254194011986231
16,124.0,-0.002824858757062147
17,133.0,0.0
18,140.0,0.35841269841269835
19,151.0,0.13866666666666666
20,154.0,-0.005761316872427984
21,155.0,-0.0012285012285012285
22,160.0,0.024444444444444442
23,163.0,0.007197121151539384
24,165.0,0.034013605442176874
25,174.0,0.009804318215533169
26,181.0,-0.006944444444444444
27,189.0,0.0036834697534257736
28,193.0,-0.0009720872822723674
29,203.0,0.040414592855933636
30,205.0,-0.003968253968253968
31,206.0,-0.0067089947089947095
32,210.0,0.03773584905660377
33,216.0,0.16398282340311324
34,220.0,-0.0019163900742848114
35,230.0,0.11711711711711713
36,233.0,0.005964052287581699
37,244.0,-0.002842158656480112
38,248.0,0.005847953216374269
39,251.0,0.06910569105691057
40,256.0,0.05092592592592592
41,260.0,0.01921602425034919
42,263.0,-0.007305669199298656
43,267.0,0.05555555555555555
44,271.0,0.009853644399362411
45,277.0,0.0017152658662092624
46,284.0,0.0
47,286.0,-0.005058124057147928
48,290.0,0.000554044252911163
49,293.0,-0.002364066193853428
50,294.0,0.005222616718330659
51,304.0,-0.002886908497552404
52,311.0,0.1590909090909091
53,314.0,0.031152898317797068
54,319.0,0.006373413746066934
55,331.0,-0.0033673316021198634
56,338.0,-0.0021603823789184506
57,351.0,-0.0010115488485014552
58,361.0,0.008560142621404997
59,370.0,0.0007386170062120593
60,382.0,0.01680306435051076
61,396.0,0.01109560350093458
62,408.0,-0.0011211470585427979
63,418.0,0.012637681021217727
64,439.0,0.09525211958946898
65,454.0,0.000983681112834428
66,465.0,-0.0004157212671017167
67,490.0,0.010572976835580243
68,506.0,0.004429178678307387
69,528.0,0.0032887937010823566
70,565.0,0.0031307320123481713
